Source,Target,Type,Id,Label,Timeset,Weight
0,1,undirected,,,,1
0,2,undirected,,,,1
73,8,undirected,,,,7
5,8,undirected,,,,2
7,8,undirected,,,,1
7,9,undirected,,,,1
7,10,undirected,,,,1
56,16,undirected,,,,10
13,14,undirected,,,,1
18,16,undirected,,,,1
18,56,undirected,,,,1
18,18,undirected,,,,1
18,25,undirected,,,,1
18,26,undirected,,,,1
25,56,undirected,,,,1
74,56,undirected,,,,9
74,25,undirected,,,,9
74,26,undirected,,,,9
27,56,undirected,,,,1
32,30,undirected,,,,5
31,32,undirected,,,,1
33,56,undirected,,,,1
46,39,undirected,,,,2
61,72,undirected,,,,1
61,39,undirected,,,,1
40,72,undirected,,,,1
40,43,undirected,,,,1
43,72,undirected,,,,2
43,74,undirected,,,,2
43,46,undirected,,,,2
43,49,undirected,,,,2
43,55,undirected,,,,2
49,72,undirected,,,,1
49,74,undirected,,,,1
52,72,undirected,,,,1
52,54,undirected,,,,1
55,56,undirected,,,,1
57,58,undirected,,,,1
59,72,undirected,,,,1
59,61,undirected,,,,1
70,72,undirected,,,,1
64,73,undirected,,,,1
64,70,undirected,,,,1
67,72,undirected,,,,1
67,69,undirected,,,,1
67,70,undirected,,,,1
71,72,undirected,,,,3
71,73,undirected,,,,3
71,74,undirected,,,,3
